Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Year
25,Los Angeles Clippers,W,P,28,54,0.341,-4.59,104.3,109.4,-5.1,-3.74,104.63,108.81,-4.18,2004
26,Atlanta Hawks,E,C,28,54,0.341,-4.65,101.91,107.01,-5.11,-5,102.02,107.51,-5.49,2004
27,Washington Wizards,E,A,25,57,0.305,-5.63,99.46,105.62,-6.15,-6.12,99.35,106.04,-6.69,2004
28,Chicago Bulls,E,C,23,59,0.28,-6.35,97.49,104.38,-6.88,-6.69,97.42,104.67,-7.25,2004
29,Orlando Magic,E,A,21,61,0.256,-7.02,103.53,111.31,-7.78,-7.25,103.84,111.86,-8.02,2004
1,San Antonio Spurs,W,SW,59,23,0.72,7.8,108.45,99.59,8.85,7.84,108.18,99.31,8.87,2005
2,Phoenix Suns,W,P,62,20,0.756,7.12,115.01,107.53,7.49,7.08,115.06,107.63,7.43,2005
3,Dallas Mavericks,W,SW,58,24,0.707,5.74,111.32,104.88,6.44,5.85,111.3,104.76,6.55,2005
4,Miami Heat,E,SE,59,23,0.72,6.52,111.08,103.74,7.33,5.76,110.81,104.31,6.5,2005
5,Houston Rockets,W,SW,51,31,0.622,4.04,107.03,102.57,4.46,4.26,106.85,102.15,4.7,2005
6,Detroit Pistons,E,C,54,28,0.659,3.87,106.49,102.07,4.42,3.31,106.19,102.38,3.81,2005
7,Seattle SuperSonics,W,NW,52,30,0.634,2.29,113.09,110.41,2.68,2.59,113.33,110.34,2.99,2005
8,Memphis Grizzlies,W,SW,45,37,0.549,2.29,106.5,103.89,2.61,2.63,106.57,103.6,2.97,2005
9,Sacramento Kings,W,P,50,32,0.61,2.16,111.02,108.76,2.26,2.55,111.16,108.46,2.7,2005
10,Denver Nuggets,W,NW,49,33,0.598,2.02,106.6,104.67,1.93,2.22,106.49,104.34,2.15,2005
11,Minnesota Timberwolves,W,NW,44,38,0.537,1.45,108.99,107.35,1.64,1.73,108.98,107.05,1.93,2005
12,Chicago Bulls,E,C,47,35,0.573,1.06,102.14,101.01,1.13,0.65,101.84,101.15,0.69,2005
13,Indiana Pacers,E,C,44,38,0.537,0.76,106.46,105.55,0.91,0.49,106.47,105.85,0.62,2005
14,Boston Celtics,E,A,45,37,0.549,0.87,108.31,107.4,0.91,0.34,108.27,107.92,0.35,2005
15,Cleveland Cavaliers,E,C,42,40,0.512,0.79,107.58,106.68,0.89,0.27,107.5,107.17,0.33,2005
16,Los Angeles Clippers,W,P,37,45,0.451,-0.77,106.76,107.5,-0.74,-0.47,106.78,107.2,-0.43,2005
17,Washington Wizards,E,SE,45,37,0.549,-0.33,107.94,108.32,-0.38,-0.72,107.91,108.7,-0.79,2005
18,Philadelphia 76ers,E,A,43,39,0.524,-0.74,104,104.86,-0.86,-1.08,103.82,105.03,-1.21,2005
19,Toronto Raptors,E,A,33,49,0.402,-1.62,107.78,109.41,-1.63,-1.81,107.85,109.68,-1.83,2005
20,Golden State Warriors,W,P,34,48,0.415,-2.16,105.24,107.71,-2.46,-1.74,105.22,107.24,-2.01,2005
21,New Jersey Nets,E,A,42,40,0.512,-1.5,102.29,104.02,-1.73,-1.82,102.11,104.18,-2.07,2005
22,Los Angeles Lakers,W,P,34,48,0.415,-2.96,108.86,112.12,-3.27,-2.33,109.16,111.74,-2.58,2005
23,Orlando Magic,E,SE,36,46,0.439,-2.24,105.7,108.01,-2.31,-2.52,105.73,108.33,-2.6,2005
24,New York Knicks,E,A,33,49,0.402,-2.44,106.93,109.59,-2.66,-2.73,107.05,110.01,-2.96,2005
25,Milwaukee Bucks,E,C,30,52,0.366,-2.99,107,110.42,-3.42,-3.09,107.21,110.72,-3.51,2005
26,Portland Trail Blazers,W,NW,27,55,0.329,-4,104.26,108.64,-4.37,-3.45,104.39,108.17,-3.78,2005
27,Utah Jazz,W,NW,26,56,0.317,-4.27,105.57,110.29,-4.72,-3.74,105.75,109.9,-4.16,2005
28,Charlotte Bobcats,E,SE,18,64,0.22,-5.99,101.91,108.4,-6.49,-6.15,101.87,108.54,-6.67,2005
29,New Orleans Hornets,W,SW,18,64,0.22,-7.07,100.72,108.89,-8.17,-6.3,101,108.32,-7.32,2005
30,Atlanta Hawks,E,SE,13,69,0.159,-9.71,101.23,111.99,-10.76,-9.62,101.45,112.09,-10.64,2005
1,San Antonio Spurs,W,SW,63,19,0.768,6.82,108.02,100.32,7.7,6.69,107.93,100.38,7.54,2006
2,Detroit Pistons,E,C,64,18,0.78,6.67,111.59,103.9,7.69,6.23,111.35,104.15,7.2,2006
3,Dallas Mavericks,W,SW,60,22,0.732,6.07,112.87,105.73,7.14,5.96,113.06,106.07,6.99,2006
4,Phoenix Suns,W,P,54,28,0.659,5.55,112.27,106.45,5.82,5.48,112.32,106.58,5.74,2006
5,Memphis Grizzlies,W,SW,49,33,0.598,3.7,107.11,102.69,4.42,3.74,107.1,102.66,4.44,2006
6,Miami Heat,E,SE,52,30,0.634,3.87,109.53,105.34,4.19,3.59,109.28,105.38,3.9,2006
7,Los Angeles Lakers,W,P,45,37,0.549,2.5,109.26,106.59,2.67,2.53,109.46,106.77,2.69,2006
8,Cleveland Cavaliers,E,C,50,32,0.61,2.23,108.49,106.01,2.48,2.17,108.49,106.07,2.42,2006
9,Los Angeles Clippers,W,P,47,35,0.573,1.57,106.09,104.24,1.85,1.75,106.11,104.08,2.03,2006
10,Indiana Pacers,E,C,41,41,0.5,1.89,105.3,103,2.3,1.62,104.91,102.9,2.01,2006
11,Washington Wizards,E,SE,42,40,0.512,1.85,110.01,107.93,2.08,1.56,109.91,108.14,1.76,2006
12,Sacramento Kings,W,P,44,38,0.537,1.54,107.45,105.8,1.65,1.61,107.51,105.8,1.72,2006
13,New Jersey Nets,E,A,49,33,0.598,1.37,104.66,103.24,1.42,1.11,104.24,103.1,1.15,2006
14,Chicago Bulls,E,C,41,41,0.5,0.63,104.64,103.99,0.64,0.51,104.38,103.85,0.52,2006
15,Denver Nuggets,W,NW,44,38,0.537,0.23,106.16,106.01,0.15,0.36,106.22,105.94,0.28,2006
16,Golden State Warriors,W,P,34,48,0.415,-1.35,105.36,106.79,-1.44,-1.11,105.55,106.74,-1.18,2006
17,Milwaukee Bucks,E,C,40,42,0.488,-1.04,106.81,107.98,-1.17,-1.07,106.8,108,-1.2,2006
18,Orlando Magic,E,SE,36,46,0.439,-1.07,106.99,108.25,-1.26,-1.26,106.84,108.29,-1.45,2006
19,Houston Rockets,W,SW,34,48,0.415,-1.59,102.41,104.42,-2.02,-1.31,102.5,104.2,-1.7,2006
20,Boston Celtics,E,A,33,49,0.402,-1.54,106.12,107.86,-1.73,-1.59,106.05,107.83,-1.78,2006
