Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
473,Greg Whittington\whittgr01,PF,27,DEN,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
474,Andrew Wiggins\wiggian01,PF,25,GSW,37,37,32.2,6.5,14.1,0.463,1.8,5,0.351,4.8,9.1,0.524,0.525,2.2,3.3,0.672,1,3.4,4.5,2.2,0.8,1.1,1.9,2.3,17
475,Grant Williams\willigr01,PF,22,BOS,28,6,18.5,1.9,4.1,0.47,0.9,2.1,0.433,1,2,0.509,0.583,0.5,1,0.517,1,1.9,2.9,0.9,0.5,0.4,1,2.8,5.3
476,Kenrich Williams\willike04,PF,26,OKC,36,6,18.9,2.6,4.7,0.554,0.6,1.4,0.42,2,3.3,0.61,0.616,0.4,0.7,0.625,1.3,2.7,4,1.6,0.8,0.2,0.9,1.8,6.2
477,Lou Williams\willilo02,PG,34,LAC,35,3,22.7,4.5,10.7,0.422,1.1,2.8,0.398,3.4,7.9,0.431,0.475,2.4,2.7,0.865,0.4,1.9,2.3,3.7,0.9,0.1,1.6,1,12.5
478,Patrick Williams\willipa01,PF,19,CHI,33,33,28.5,3.8,8.1,0.474,0.9,2.3,0.39,2.9,5.8,0.508,0.53,1.6,2,0.788,0.9,3.9,4.8,1.2,0.7,0.8,1.5,2.3,10.2
479,Robert Williams\williro04,C,23,BOS,29,0,16.1,3,4.2,0.721,0,0,0,3,4.2,0.727,0.721,0.9,1.3,0.641,2.3,3.6,5.9,1.1,0.9,1.4,1,1.8,6.9
480,Zion Williamson\willizi01,PF,20,NOP,34,34,33.1,9.9,16.1,0.614,0.2,0.6,0.316,9.7,15.5,0.624,0.619,5.7,8.2,0.695,2.7,4.5,7.2,3.4,0.9,0.7,2.6,2.4,25.6
481,D.J. Wilson\wilsodj01,PF,24,MIL,11,0,9,1.4,3.7,0.366,0.8,2.4,0.346,0.5,1.4,0.4,0.476,0.1,0.2,0.5,0.3,1.8,2.1,0.3,0.1,0.4,0.4,1.1,3.6
482,Dylan Windler\windldy01,SF,24,CLE,22,0,19,2.1,4.7,0.456,1,2.9,0.365,1.1,1.8,0.6,0.568,1,1.2,0.808,0.8,3.3,4.1,1.3,0.7,0.5,1,1.3,6.3
483,Justise Winslow\winslju01,SF,24,MEM,6,0,22.3,4,10.7,0.375,0.5,2.5,0.2,3.5,8.2,0.429,0.398,1,1.7,0.6,0.8,4.3,5.2,1.5,0.5,0.7,1.7,3,9.5
484,Cassius Winston\winstca01,PG,22,WAS,6,0,7.3,0.7,1.7,0.4,0.5,1.2,0.429,0.2,0.5,0.333,0.55,0.3,0.3,1,0,0.7,0.7,1,0,0.2,0.2,0.7,2.2
485,James Wiseman\wisemja01,C,19,GSW,26,17,20.8,4.8,9.5,0.51,0.4,1,0.37,4.5,8.5,0.527,0.53,1.7,2.7,0.629,1.4,4.5,5.9,0.7,0.3,1.1,1.5,3.2,11.8
486,Christian Wood\woodch01,C,25,HOU,17,17,31.2,8.8,15.7,0.558,1.9,4.5,0.421,6.9,11.2,0.613,0.618,2.6,3.8,0.688,1.8,8.4,10.2,1.3,0.9,1.5,1.8,1.9,22
487,Robert Woodard\woodaro01,SF,21,SAC,6,0,2.8,1,1.8,0.545,0.2,0.5,0.333,0.8,1.3,0.625,0.591,0,0.3,0,0.5,0.8,1.3,0,0,0,0.2,0,2.2
488,Delon Wright\wrighde01,SG,28,DET,29,24,29.2,3.8,8.1,0.468,1,2.5,0.384,2.8,5.6,0.506,0.528,2.1,2.7,0.785,1.1,3.5,4.6,4.9,1.4,0.5,1.2,1.1,10.7
489,Thaddeus Young\youngth01,PF,32,CHI,30,0,25.3,5.6,9.1,0.609,0.2,0.7,0.227,5.4,8.4,0.643,0.619,0.8,1.5,0.5,2.4,3.5,5.9,4.4,1.4,0.6,1.9,2.7,12.1
490,Trae Young\youngtr01,PG,22,ATL,34,34,34.8,7.7,17.9,0.43,2.5,6.6,0.378,5.2,11.3,0.46,0.499,8.5,9.6,0.878,0.7,3.4,4.2,9.4,0.9,0.2,4.4,2.1,26.4
491,Cody Zeller\zelleco01,C,28,CHO,18,15,23.4,4.1,7.9,0.514,0.2,1.1,0.158,3.9,6.8,0.569,0.525,1.4,1.8,0.758,2.6,5,7.6,2.4,0.6,0.6,1.1,2.6,9.7
492,Ivica Zubac\zubaciv01,C,23,LAC,38,1,19.8,3.2,4.8,0.659,0,0,0,3.2,4.8,0.663,0.659,1.9,2.3,0.826,2.4,4.6,7,1.1,0.4,0.8,1,2.5,8.2
