Player,MP,PTS,TRB,AST,ROY
Sviatoslav Mykhailiuk\mykhasv01,17.4,6.6,1.6,1.4,N
Elie Okobo\okoboel01,15.5,4.8,1.7,2.2,N
Josh Okogie\okogijo01,23.4,7.5,3.4,1.3,N
Theo Pinson\pinsoth01,9.7,3.3,1.5,1.3,N
Cameron Reynolds\reynoca01,13.6,5,1.6,0.7,N
Duncan Robinson\robindu01,28.5,12,3.2,1.3,N
Jerome Robinson\robinje01,13.9,4.6,1.9,1.1,N
Mitchell Robinson\robinmi01,23.1,8.5,7,0.6,N
Brandon Sampson\sampsbr01,15.3,5.1,1.1,0.7,N
Collin Sexton\sextoco01,33,19.5,2.9,3.2,N
Landry Shamet\shamela01,23.7,8.9,1.8,1.5,N
Jordan Sibert\siberjo01,4,3,0,0,N
Anfernee Simons\simonan01,17.5,7.5,2,1.2,N
Zhaire Smith\smithzh01,11,3.7,1.2,0.9,N
Ray Spalding\spaldra01,10.4,3.6,3.3,0.3,N
Omari Spellman\spellom01,17.8,6.8,4.3,1,N
Jared Terrell\terreja01,7.9,2.2,0.4,0.9,N
Emanuel Terry\terryem01,7.7,3.3,2.3,0.7,N
Khyri Thomas\thomakh01,7.5,2.3,0.6,0.3,N
Gary Trent\trentga02,22.7,9.9,1.7,1.1,N
Allonzo Trier\trieral01,19.9,9.7,2.6,1.7,N
Jarred Vanderbilt\vandeja01,12.4,3.9,3.7,0.9,N
Moritz Wagner\wagnemo01,14.5,6.9,3.4,1,N
Lonnie Walker\walkelo01,17.8,7.2,2.2,1.2,N
Brad Wanamaker\wanambr01,16,5.6,1.7,2.3,N
Julian Washburn\washbju01,14.1,2.2,2.3,0.8,N
Yuta Watanabe\watanyu01,9.9,2.5,2.2,0.4,N
Thomas Welsh\welshth01,3.3,1.6,0.4,0.5,N
Johnathan Williams\willijo04,14.2,5.2,4.2,0.5,N
Kenrich Williams\willike04,21.4,5.3,4.5,1.6,N
Robert Williams\williro04,12.7,4.8,4.2,0.7,N
Trae Young\youngtr01,33.2,24.1,4,8.8,N
Kyle Alexander\alexaky01,6.5,1,1.5,0,N
Nickeil Alexander-Walker\alexani01,14.5,6.6,2,1.9,N
RJ Barrett\barrerj01,31.5,15.2,5.4,2.7,N
Darius Bazley\bazleda01,23,7.9,5.3,1,N
Goga Bitadze\bitadgo01,8.8,3.3,2,0.4,N
Bol Bol\bolbo01,7.8,3.1,1.4,0.5,N
Marques Bolden\boldema01,4.6,1,1.1,0,N
Jordan Bone\bonejo01,10.4,2.8,1.2,1.1,N
Brian Bowen\bowenbr02,5.1,1.3,1.1,0,N
Ky Bowman\bowmaky01,22.6,7.4,2.7,2.9,N
Jarrell Brantley\brantja01,6.5,1.8,1.4,0.6,N
Ignas Brazdeikis\brazdig01,4.6,1.5,0.5,0.4,N
Oshae Brissett\brissos01,7.1,1.9,1.4,0.4,N
Charlie Brown\brownch02,4,2,0.4,0.2,N
Moses Brown\brownmo01,4,2,1.8,0.3,N
Devontae Cacok\cacokde01,5.2,2.8,2,0.2,N
Vlatko Čančar\cancavl01,4.9,1.4,1.1,0.3,N
Zylan Cheatham\cheatzy01,12.8,3,2.3,0.8,N
Brandon Clarke\clarkbr01,23.8,12.1,5.9,1.5,N
Nicolas Claxton\claxtni01,13.2,5.8,3.1,1.1,N
Chris Clemons\clemoch01,8.8,4.9,0.9,0.8,N
Amir Coffey\coffeam01,8.2,3,0.8,0.6,N
Tyler Cook\cookty01,4.2,1.5,0.9,0.2,N
Jarrett Culver\culveja01,23,8.7,3.7,1.5,N
Terence Davis\daviste02,16.2,7.4,2.9,1.4,N
Luguentz Dort\dortlu01,26.2,9.5,2.8,1.1,N
Sekou Doumbouya\doumbse01,17,5.4,2.7,0.6,N
Carsen Edwards\edwarca01,9.8,3.9,1.2,0.6,N
Tacko Fall\fallta01,6,2.9,2.4,0.1,N
Bruno Fernando\fernabr01,11.7,3.7,3.5,0.8,N
Michael Frazier\frazimi01,11.2,2.1,0.8,0.2,N
Wenyen Gabriel\gabriwe01,7.3,1.9,1.7,0.3,N
Daniel Gafford\gaffoda01,13.8,5,2.7,0.5,N
Darius Garland\garlada01,31.6,13.6,2,4.5,N
Javonte Green\greenja02,11.4,3.8,2,0.5,N
Marko Guduric\gudurma01,11,3.9,1.7,1,N
Kyle Guy\guyky01,7.4,2.6,0.9,0.9,N
Rui Hachimura\hachiru01,30.1,13.1,5.9,1.8,N
Devon Hall\hallde01,7.4,1.8,0.6,1.2,N
Donta Hall\halldo01,14.8,4.3,4.2,0.4,N
Jared Harper\harpeja01,2.6,0.8,0,0,N
Jaxson Hayes\hayesja02,15.6,6.6,3.9,0.7,N
Dewan Hernandez\hernade01,4.7,2.3,2.3,0.5,N
Tyler Herro\herroty01,29.1,14.2,4.6,2.6,N
Kevin Hervey\herveke01,5.2,1.7,1.2,0.5,N
Jaylen Hoard\hoardja01,7.9,2.9,2.5,0.3,N
Talen Horton-Tucker\hortota01,16.8,7,2.2,1.8,N
William Howard\howarwi01,6.5,0,1,0.5,N
De'Andre Hunter\huntede01,32.1,13.4,4.7,1.9,N
Justin James\jamesju01,6.1,2.3,0.8,0.5,N
DaQuan Jeffries\jeffrda01,13.2,4.3,1.6,0.4,N
Ty Jerome\jeromty01,12.2,4,1.6,1.6,N
Cameron Johnson\johnsca02,22.8,9.4,3.3,1.3,N
Keldon Johnson\johnske04,24.9,12.2,5.4,1.7,N
Mfiondu Kabengele\kabenmf01,4.5,1.9,0.7,0.2,N
Stanton Kidd\kiddst01,3.8,0,0.8,0.3,N
Louis King\kinglo02,6.2,2,1,0.5,N
John Konchar\konchjo01,12.9,3.5,3,1.2,N
Romeo Langford\langfro01,11.6,2.5,1.3,0.4,N
Vic Law\lawvi01,7.8,1.9,1.4,0.4,N
Jalen Lecque\lecquja01,5.1,1.9,0.8,0.5,N
Nassir Little\littlna01,11.9,4.1,2.3,0.4,N
Terance Mann\mannte01,12,3.5,2.2,1.3,N
Caleb Martin\martica02,16.2,5.8,2.5,1.2,N
Cody Martin\martico01,16.5,4.5,3,1.7,N
Jeremiah Martin\martije02,11,7.1,1.1,2,N
Kelan Martin\martike03,12.6,5,2.5,0.5,N
Garrison Mathews\mathega01,14.8,6.3,1.6,0.5,N
Jalen McDaniels\mcdanja01,15.3,5,3.3,0.6,N
Jordan McLaughlin\mclaujo01,19.6,6.6,1.9,4.4,N
Nicolò Melli\mellini01,15.9,5.5,2.8,1.3,N
Eric Mika\mikaer01,19,6,7,0,N
Adam Mokoka\mokokad01,8.6,2.4,0.8,0.4,N
Matt Mooney\moonema01,4.8,0.5,0.8,0.3,N
Juwan Morgan\morgaju01,5.7,1.4,1.2,0.3,N
Mychal Mulder\muldemy01,13.8,5.3,1.3,0.6,N
Malik Newman\newmama01,4,2,0,0,N
Zach Norvell\norveza01,8.2,2,1.2,0.6,N
Jaylen Nowell\nowelja01,14,6.9,1.5,1.1,N
Kendrick Nunn\nunnke01,29.5,15,2.9,3.1,N
KZ Okpala\okpalkz01,9.4,1.9,1.4,0.3,N
Miye Oni\onimi01,8.8,2.3,1.8,0.3,N
Tariq Owens\owensta01,5,1.3,1,0,N
Eric Paschall\pascher01,24,12.5,4.1,1.8,N
Anžejs Pasečņiks\pasecan01,15.8,5.6,3.9,0.7,N
Norvel Pelle\pelleno01,9.4,2.4,2.9,0.3,N
Vincent Poirier\poirivi01,5.4,1.6,1.7,0.3,N
Shamorie Ponds\pondssh01,2.8,2.3,0.3,0.5,N
Jordan Poole\poolejo01,19.8,8.4,1.9,2,N
Kevin Porter\porteke02,23.2,10,3.2,2.2,N
Michael Porter\portemi01,20.3,11,5.5,0.9,N
Josh Reaves\reavejo02,7,2,0.8,0.8,N
Cam Reddish\reddica01,27.4,10.7,3.8,1.5,N
Naz Reid\reidna01,18.7,10.5,4.5,1.2,N
Justin Robinson\robinju01,5.4,1.4,0.6,0.8,N
Isaiah Roby\robyis01,19.7,7.8,5,1.6,N
Luka Šamanić\samanlu01,12.3,4.8,3.2,0.6,N
Admiral Schofield\schofad01,11.2,3,1.4,0.5,N
