Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
401,Terry Rozier\roziete01,SG,26,CHO,33,1106,12%,78%,9%,,,-3.0,-6.7,35,17,26,9,31,16,256,10,16
402,Ricky Rubio\rubiori01,PG,30,MIN,34,863,98%,2%,,,,-9.1,0.0,52,10,17,4,28,14,516,3,15
403,D'Angelo Russell\russeda01,PG,24,MIN,20,583,72%,28%,,,,-16.1,-10.6,33,16,17,4,25,6,239,5,6
404,Domantas Sabonis\sabondo01,PF,24,IND,35,1278,,,,62%,38%,-3.4,-14.7,45,34,43,20,94,3,519,23,32
405,Luka Šamanić\samanlu01,PF,21,SAS,9,99,,,,88%,11%,15.2,16.0,0,1,6,2,4,2,2,0,4
406,JaKarr Sampson\sampsja02,PF,27,IND,15,97,,,33%,51%,16%,17.9,18.7,2,1,8,0,6,1,2,2,1
407,Dario Šarić\saricda01,PF,26,PHO,17,307,,,,17%,83%,23.1,20.1,10,6,19,2,15,3,50,3,16
408,Tomáš Satoranský\satorto01,SG,29,CHI,23,476,,9%,69%,22%,,5.8,8.5,27,5,16,1,14,6,237,6,4
409,Dennis Schröder\schrode01,SG,27,LAL,33,1030,22%,71%,7%,,,7.7,6.5,47,17,22,7,53,20,356,11,30
410,Mike Scott\scottmi01,PF,32,PHI,17,295,,,1%,96%,3%,-3.2,-8.4,4,4,10,1,3,1,12,1,2
411,Collin Sexton\sextoco01,SG,22,CLE,31,1127,43%,57%,,,,-5.9,3.7,35,32,32,16,72,15,319,18,45
412,Landry Shamet\shamela01,SG,23,BRK,33,650,18%,35%,40%,7%,,-1.6,-10.7,13,4,17,4,13,5,89,2,10
413,Iman Shumpert\shumpim01,SG,30,BRK,2,11,,,100%,,,-0.2,-5.5,1,0,0,0,0,0,0,0,0
414,Pascal Siakam\siakapa01,PF,26,TOR,30,1075,,,2%,81%,17%,3.2,4.9,30,13,33,15,72,3,371,17,35
415,Chris Silva\silvach01,PF,24,MIA,6,53,,,,67%,33%,-8.4,-7.2,2,2,7,2,4,1,14,0,1
416,Ben Simmons\simmobe01,PG,24,PHI,31,1051,100%,,,,,7.9,10.4,51,22,41,23,73,11,597,15,27
417,Anfernee Simons\simonan01,SG,21,POR,32,543,61%,39%,,,,-11.5,-16.2,13,8,33,1,10,1,111,1,11
418,Deividas Sirvydis\sirvyde01,SG,20,DET,5,8,,74%,26%,,,34.3,38.3,0,0,1,0,1,0,3,0,0
419,Marcus Smart\smartma01,PG,26,BOS,17,549,58%,42%,,,,-0.4,-1.2,17,9,18,2,25,8,244,3,7
420,Dennis Smith Jr.\smithde03,PG,23,TOT,15,275,99%,1%,,,,-3.8,-2.3,7,6,11,2,4,0,119,1,8
420,Dennis Smith Jr.\smithde03,PG,23,NYK,3,28,87%,14%,,,,-17.5,-18.4,0,0,1,0,2,0,7,0,1
420,Dennis Smith Jr.\smithde03,PG,23,DET,12,247,100%,,,,,-2.3,1.8,7,6,10,2,2,0,112,1,7
421,Ish Smith\smithis01,PG,32,WAS,19,391,100%,,,,,2.2,8.7,10,7,10,1,8,12,223,1,4
422,Jalen Smith\smithja04,PF,20,PHO,11,57,,,,65%,35%,-8.0,-15.2,0,0,3,1,1,0,5,0,0
423,Tony Snell\snellto01,SG,29,ATL,23,420,,35%,65%,,,3.4,3.6,7,2,11,2,0,0,66,0,2
424,Ray Spalding\spaldra01,C,23,HOU,2,19,,,,,100%,-23.7,-18.6,2,1,2,0,1,0,0,0,0
425,Cassius Stanley\stanlca01,SG,21,IND,8,23,1%,31%,45%,24%,,-5.7,-6.0,1,0,4,0,2,0,0,0,3
426,Lamar Stevens\stevela01,PF,23,CLE,24,346,,8%,35%,56%,1%,-11.8,-5.7,9,4,24,0,15,1,59,2,9
427,Isaiah Stewart\stewais01,C,19,DET,34,626,,,,,100%,3.1,10.9,8,11,36,8,16,5,55,6,16
428,Max Strus\strusma01,SF,24,MIA,19,283,5%,59%,36%,,,-8.1,-8.0,1,1,12,0,5,5,25,1,1
429,Edmond Sumner\sumneed01,SG,25,IND,22,251,1%,55%,43%,1%,,-1.0,-1.5,10,2,10,2,15,2,27,3,6
430,Jae'Sean Tate\tateja01,SF,25,HOU,34,933,1%,11%,63%,26%,,-4.3,2.6,14,13,48,7,22,14,151,6,23
431,Jayson Tatum\tatumja01,SF,22,BOS,31,1110,,5%,77%,18%,,3.0,7.1,39,18,17,13,57,3,343,11,33
432,Jeff Teague\teaguje01,PG,32,BOS,28,506,87%,13%,,,,2.8,3.4,20,9,17,1,21,2,133,3,9
433,Garrett Temple\templga01,SG,34,CHI,33,936,31%,68%,1%,,,5.8,14.0,19,5,41,1,14,10,165,7,7
434,Tyrell Terry\terryty01,PG,20,DAL,11,56,100%,,,,,-1.6,-1.1,2,0,2,0,0,1,13,0,0
435,Daniel Theis\theisda01,C,28,BOS,34,827,,,,,100%,3.3,5.6,14,7,54,11,21,6,109,4,9
436,Brodric Thomas\thomabr01,SG,24,HOU,4,24,77%,9%,14%,,,21.2,27.0,1,2,1,1,3,0,8,1,0
437,Matt Thomas\thomama02,SG,26,TOR,21,145,19%,77%,4%,,,-12.3,-14.8,1,1,7,0,1,0,21,1,1
438,Tristan Thompson\thomptr01,PF,29,BOS,34,774,,,,46%,54%,-0.7,-2.0,12,9,41,5,33,0,78,9,16
439,Sindarius Thornwell\thornsi01,SG,26,NOP,11,53,36%,64%,,,,30.4,31.9,2,0,1,0,0,0,5,0,1
440,Matisse Thybulle\thybuma01,SG,23,PHI,33,596,20%,59%,20%,2%,,3.3,-0.8,6,3,24,2,6,4,74,2,1
441,Killian Tillie\tilliki02,C,22,MEM,2,21,,,,80%,20%,-8.2,-9.4,0,1,3,0,0,0,0,0,1
442,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,27,551,,,6%,58%,35%,3.6,3.9,13,4,44,5,13,0,107,5,12
443,Obi Toppin\toppiob01,PF,22,NYK,27,342,,,,98%,2%,-2.3,-3.7,7,4,13,3,8,1,40,2,5
444,Juan Toscano-Anderson\toscaju01,SG,27,GSW,23,474,,53%,41%,6%,,0.5,0.1,14,5,20,6,8,7,124,2,6
445,Karl-Anthony Towns\townska01,C,25,MIN,16,524,,,,,100%,-3.8,7.5,21,5,23,19,34,7,158,6,16
446,Gary Trent Jr.\trentga02,SG,22,POR,33,1030,4%,87%,10%,,,-0.3,0.6,12,7,27,4,23,6,123,8,13
447,P.J. Tucker\tuckepj01,PF,35,HOU,32,959,,,,74%,26%,-8.3,-6.8,12,5,41,8,4,14,115,0,6
448,Myles Turner\turnemy01,C,24,IND,33,1038,,,,,100%,1.9,4.2,20,6,74,14,49,3,70,9,12
449,Jonas Valančiūnas\valanjo01,C,28,MEM,27,733,,,,,100%,0.1,-1.9,14,20,45,19,44,2,110,6,28
450,Denzel Valentine\valende01,SG,27,CHI,30,591,,32%,59%,8%,,6.6,10.5,11,2,19,0,1,2,131,0,9
451,Jarred Vanderbilt\vandeja01,PF,21,MIN,34,652,,,,69%,31%,-7.6,2.4,14,11,31,5,31,5,129,9,21
452,Fred VanVleet\vanvlfr01,SG,26,TOR,34,1249,44%,56%,,,,4.2,10.4,35,22,31,7,49,10,564,6,38
453,Devin Vassell\vassede01,SF,20,SAS,26,451,1%,49%,50%,,,3.7,5.1,5,3,19,0,11,1,70,3,3
454,Gabe Vincent\vincega01,PG,24,MIA,25,375,50%,48%,2%,,,-3.3,-2.4,12,4,22,1,9,8,75,3,7
455,Noah Vonleh\vonleno01,PF,25,BRK,4,11,,,,62%,38%,-76.2,-81.9,0,1,0,1,0,0,3,0,1
456,Nikola Vučević\vucevni01,C,30,ORL,36,1220,,,,,100%,-8.5,-7.3,26,22,32,5,33,0,333,8,21
457,Dean Wade\wadede01,PF,24,CLE,28,320,,,11%,77%,12%,-2.3,6.0,7,3,14,1,3,2,41,2,1
458,Moritz Wagner\wagnemo01,C,23,WAS,22,315,,,,,100%,4.5,11.1,6,2,30,4,20,12,66,7,9
459,Kemba Walker\walkeke02,PG,30,BOS,20,600,100%,,,,,0.1,-0.5,29,11,13,0,23,13,214,7,31
460,Lonnie Walker\walkelo01,SG,22,SAS,30,819,4%,88%,8%,,,-7.7,-16.6,13,8,38,3,21,3,127,7,15
461,John Wall\walljo01,PG,30,HOU,25,793,100%,,,,,-7.6,-4.1,52,24,17,5,65,4,388,13,29
462,Brad Wanamaker\wanambr01,PG,31,GSW,37,599,65%,34%,1%,,,-0.8,-1.8,16,8,23,2,26,7,248,7,20
463,T.J. Warren\warretj01,SF,27,IND,4,117,,2%,75%,23%,,1.3,1.1,0,3,7,1,7,2,13,4,2
464,P.J. Washington\washipj01,PF,22,CHO,31,910,,,,51%,49%,0.1,1.8,30,18,48,10,43,5,227,4,28
465,Yuta Watanabe\watanyu01,SF,26,TOR,22,268,,,44%,53%,4%,-2.6,-4.6,1,2,15,0,2,2,20,0,4
466,Tremont Waters\watertr01,PG,23,BOS,10,98,100%,,,,,-6.2,-7.0,12,1,2,0,2,0,71,0,1
467,Paul Watson\watsopa01,SF,26,TOR,16,74,,6%,45%,47%,3%,-18.6,-20.9,0,0,6,1,0,0,6,0,1
468,Quinndary Weatherspoon\weathqu01,SG,24,SAS,5,24,85%,15%,,,,-76.9,-78.3,3,0,3,1,1,0,6,0,2
469,Russell Westbrook\westbru01,PG,32,WAS,27,923,63%,35%,3%,,,-6.1,-3.9,84,27,23,10,76,2,633,22,27
470,Coby White\whiteco01,PG,20,CHI,34,1130,94%,6%,,,,-3.3,-9.9,38,24,44,7,32,13,409,8,32
471,Derrick White\whitede01,SG,26,SAS,8,189,6%,74%,20%,,,10.5,11.8,3,3,5,0,7,5,70,1,9
472,Hassan Whiteside\whiteha01,C,31,SAC,23,335,,,,,100%,-9.3,-4.6,7,4,24,8,29,3,27,5,10
473,Greg Whittington\whittgr01,PF,27,DEN,2,8,,28%,72%,,,34.6,29.8,0,0,0,0,0,0,0,0,0
474,Andrew Wiggins\wiggian01,PF,25,GSW,37,1193,,,45%,52%,4%,-2.0,-7.4,24,21,48,12,68,4,205,20,24
475,Grant Williams\willigr01,PF,22,BOS,28,517,,,12%,86%,3%,-6.6,-10.0,13,6,36,6,7,5,65,3,8
476,Kenrich Williams\willike04,PF,26,OKC,36,681,1%,6%,70%,22%,1%,0.1,9.7,15,9,25,6,12,7,139,4,11
477,Lou Williams\willilo02,PG,34,LAC,35,794,100%,,,,,4.0,-3.3,47,7,8,1,46,6,318,9,24
478,Patrick Williams\willipa01,PF,19,CHI,33,939,,,29%,71%,,-5.4,-11.9,8,18,41,9,36,7,100,8,22
479,Robert Williams\williro04,C,23,BOS,29,468,,,,14%,86%,-4.2,-6.2,15,5,37,4,18,0,73,5,3
480,Zion Williamson\willizi01,PF,20,NOP,34,1126,,,,88%,12%,-0.4,0.7,25,31,43,18,151,0,298,45,72
481,D.J. Wilson\wilsodj01,PF,24,MIL,11,99,,,,55%,45%,-14.7,-21.8,1,1,9,1,1,0,8,0,2
482,Dylan Windler\windldy01,SF,24,CLE,22,417,,43%,43%,14%,,-5.2,2.7,14,5,17,2,10,2,68,1,4
483,Justise Winslow\winslju01,SF,24,MEM,6,134,,18%,58%,23%,,6.3,5.8,3,3,8,2,4,3,23,0,1
484,Cassius Winston\winstca01,PG,22,WAS,6,44,100%,,,,,-23.7,-19.7,1,0,2,0,0,0,12,0,0
485,James Wiseman\wisemja01,C,19,GSW,26,541,,,,,100%,-6.9,-10.7,8,11,57,10,31,3,43,6,17
486,Christian Wood\woodch01,C,25,HOU,17,530,,,,1%,99%,3.2,12.7,14,5,20,5,37,5,55,13,13
487,Robert Woodard\woodaro01,SF,21,SAC,6,17,,,31%,53%,16%,15.4,21.3,1,0,0,0,1,0,0,0,0
488,Delon Wright\wrighde01,SG,28,DET,29,848,83%,17%,,,,-2.4,3.0,19,12,13,2,25,9,358,3,15
489,Thaddeus Young\youngth01,PF,32,CHI,30,760,,,,52%,48%,7.6,14.3,31,15,46,5,29,17,312,17,7
490,Trae Young\youngtr01,PG,22,ATL,34,1182,96%,4%,,,,3.1,8.0,102,33,27,7,105,12,756,17,45
491,Cody Zeller\zelleco01,C,28,CHO,18,421,,,,,100%,-0.3,0.6,6,7,20,6,16,7,113,3,16
492,Ivica Zubac\zubaciv01,C,23,LAC,38,753,,,,,100%,1.2,-8.0,10,8,61,14,39,0,104,4,22
