Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
174,Blake Griffin\griffbl01,PF,31,DET,20,626,,,,93%,7%,-6.3,-3.8,13,8,19,5,27,17,192,5,7
175,Kyle Guy\guyky01,PG,23,SAC,14,115,100%,,,,,4.6,10.9,3,0,5,0,2,1,34,0,1
176,Rui Hachimura\hachiru01,PF,22,WAS,27,813,,,33%,66%,1%,-5.5,-2.1,5,13,30,5,42,2,120,9,24
177,Ashton Hagans\haganas01,PG,21,MIN,2,4,,100%,,,,-40.0,-31.0,1,0,0,0,0,0,0,0,0
178,Tyrese Haliburton\halibty01,PG,20,SAC,30,903,9%,69%,23%,,,-4.6,2.1,29,4,16,0,13,1,378,5,8
179,Josh Hall\halljo01,SF,20,OKC,7,51,18%,47%,35%,1%,,-22.0,-16.8,1,0,4,1,4,0,17,1,0
180,R.J. Hampton\hamptrj01,PG,19,DEN,24,220,25%,51%,24%,,,-11.4,-18.7,4,4,8,2,4,0,32,0,4
181,Tim Hardaway Jr.\hardati02,SG,28,DAL,33,975,,14%,79%,7%,,-2.2,-4.0,9,13,26,6,33,15,142,7,17
182,James Harden\hardeja01,PG-SG,31,TOT,31,1173,24%,45%,30%,,,3.4,4.9,82,32,30,10,78,4,820,13,31
182,James Harden\hardeja01,SG,31,HOU,8,290,16%,53%,31%,,,-5.7,-0.3,20,10,7,1,18,0,193,3,11
182,James Harden\hardeja01,PG,31,BRK,23,883,27%,43%,30%,,,6.5,2.4,62,22,23,9,60,4,627,10,20
183,Maurice Harkless\harklma01,SF,27,MIA,10,109,,5%,59%,36%,,-12.8,-12.2,0,2,6,0,1,0,17,0,0
184,Jared Harper\harpeja01,PG,23,NYK,2,5,100%,,,,,-25.0,-25.7,2,0,0,0,1,0,0,0,0
185,Montrezl Harrell\harremo01,C,27,LAL,37,891,,,,,100%,3.9,-1.9,13,15,42,7,71,17,93,27,19
186,Gary Harris\harriga01,SG,26,DEN,19,581,1%,80%,19%,,,7.9,4.4,6,3,22,1,13,4,81,4,6
187,Jalen Harris\harrija01,SG,22,TOR,2,4,,52%,48%,,,24.4,23.2,1,0,2,0,0,0,0,0,0
188,Joe Harris\harrijo01,SF,29,BRK,37,1144,,28%,43%,29%,,7.5,6.3,21,1,39,2,14,11,160,4,14
189,Tobias Harris\harrito02,PF,28,PHI,31,1066,,,,96%,4%,6.6,7.3,27,16,37,9,41,0,251,8,33
190,Shaquille Harrison\harrish01,SG,27,UTA,17,56,,77%,24%,,,-41.9,-52.5,2,1,0,0,1,0,24,0,1
191,Josh Hart\hartjo01,SF,25,NOP,36,1032,,8%,88%,4%,,-1.0,-1.0,14,7,40,4,32,6,182,9,18
192,Isaiah Hartenstein\harteis01,C,22,DEN,26,243,,,,,100%,9.4,5.2,8,0,24,10,18,4,37,6,6
193,Jaxson Hayes\hayesja02,C,20,NOP,25,311,,,,,100%,-5.3,-5.8,4,4,26,6,15,4,22,5,4
194,Killian Hayes\hayeski01,PG,19,DET,7,148,100%,,,,,-10.5,-7.2,10,4,9,0,1,1,60,0,4
195,Gordon Hayward\haywago01,SF,30,CHO,31,1080,,1%,81%,18%,,0.1,2.4,27,22,24,6,57,3,296,13,23
196,Juan Hernangómez\hernaju01,PF,25,MIN,17,271,,,,85%,15%,-6.6,2.9,4,1,8,0,9,1,25,3,5
197,Willy Hernangómez\hernawi01,C,26,NOP,20,359,,,,,100%,1.4,2.5,5,2,13,1,15,3,63,4,11
198,Tyler Herro\herroty01,SG,21,MIA,25,818,36%,53%,11%,,,-4.4,-5.8,39,14,23,4,24,3,219,8,17
199,Buddy Hield\hieldbu01,SG,28,SAC,36,1253,,53%,46%,2%,,-5.4,0.6,33,21,47,1,13,4,258,2,16
200,George Hill\hillge01,PG,34,OKC,14,369,95%,5%,,,,-1.4,5.5,6,6,7,0,10,2,105,3,3
201,Solomon Hill\hillso01,PF,29,ATL,36,686,,,52%,48%,,-2.3,-4.8,13,3,25,3,10,2,81,3,4
202,Nate Hinton\hintona01,SG,21,DAL,6,19,,92%,7%,1%,,-53.7,-53.8,1,0,1,0,0,1,0,0,1
203,Aaron Holiday\holidaa01,PG,24,IND,35,667,100%,,,,,0.3,0.0,17,6,21,2,14,9,149,0,19
204,Jrue Holiday\holidjr01,PG,30,MIL,26,805,73%,27%,,,,10.0,7.7,29,8,17,0,20,5,317,9,18
